worker 6/7: k=5956/311738 (0.0% of work, 1s)
worker 5/7: k=4905/311738 (0.0% of work, 1s)
worker 0/7: k=5950/311738 (0.0% of work, 1s)
worker 3/7: k=5253/311738 (0.0% of work, 1s)
worker 2/7: k=5602/311738 (0.0% of work, 1s)
worker 4/7: k=6304/311738 (0.0% of work, 1s)
worker 6/7: k=6306/311738 (0.0% of work, 1s)
worker 5/7: k=5255/311738 (0.0% of work, 1s)
worker 1/7: k=6651/311738 (0.0% of work, 1s)
worker 3/7: k=5603/311738 (0.0% of work, 1s)
worker 0/7: k=6300/311738 (0.0% of work, 1s)
worker 2/7: k=5952/311738 (0.0% of work, 1s)
worker 4/7: k=6654/311738 (0.0% of work, 1s)
worker 5/7: k=5605/311738 (0.0% of work, 1s)
worker 3/7: k=5953/311738 (0.0% of work, 1s)
worker 1/7: k=7001/311738 (0.1% of work, 1s)
worker 6/7: k=6656/311738 (0.0% of work, 1s)
worker 0/7: k=6650/311738 (0.0% of work, 1s)
worker 2/7: k=6302/311738 (0.0% of work, 1s)
worker 4/7: k=7004/311738 (0.1% of work, 1s)
worker 5/7: k=5955/311738 (0.0% of work, 1s)
worker 3/7: k=6303/311738 (0.0% of work, 1s)
worker 6/7: k=7006/311738 (0.1% of work, 1s)
worker 1/7: k=7351/311738 (0.1% of work, 1s)
worker 0/7: k=7000/311738 (0.1% of work, 1s)
worker 2/7: k=6652/311738 (0.0% of work, 1s)
worker 5/7: k=6305/311738 (0.0% of work, 1s)
worker 4/7: k=7354/311738 (0.1% of work, 1s)
worker 3/7: k=6653/311738 (0.0% of work, 1s)
worker 1/7: k=7701/311738 (0.1% of work, 1s)
worker 6/7: k=7356/311738 (0.1% of work, 1s)
worker 0/7: k=7350/311738 (0.1% of work, 1s)
worker 2/7: k=7002/311738 (0.1% of work, 1s)
worker 5/7: k=6655/311738 (0.0% of work, 1s)
worker 3/7: k=7003/311738 (0.1% of work, 1s)
worker 4/7: k=7704/311738 (0.1% of work, 1s)
worker 6/7: k=7706/311738 (0.1% of work, 1s)
worker 1/7: k=8051/311738 (0.1% of work, 2s)
worker 5/7: k=7005/311738 (0.1% of work, 1s)
worker 0/7: k=7700/311738 (0.1% of work, 1s)
worker 2/7: k=7352/311738 (0.1% of work, 1s)
worker 3/7: k=7353/311738 (0.1% of work, 1s)
worker 4/7: k=8054/311738 (0.1% of work, 2s)
worker 6/7: k=8056/311738 (0.1% of work, 2s)
worker 5/7: k=7355/311738 (0.1% of work, 1s)
worker 1/7: k=8401/311738 (0.1% of work, 2s)
worker 2/7: k=7702/311738 (0.1% of work, 1s)
worker 3/7: k=7703/311738 (0.1% of work, 1s)
worker 0/7: k=8050/311738 (0.1% of work, 2s)
worker 4/7: k=8404/311738 (0.1% of work, 2s)
worker 5/7: k=7705/311738 (0.1% of work, 1s)
worker 6/7: k=8406/311738 (0.1% of work, 2s)
worker 1/7: k=8751/311738 (0.1% of work, 2s)
worker 0/7: k=8400/311738 (0.1% of work, 2s)
worker 2/7: k=8052/311738 (0.1% of work, 2s)
worker 3/7: k=8053/311738 (0.1% of work, 2s)
worker 4/7: k=8754/311738 (0.1% of work, 2s)
worker 6/7: k=8756/311738 (0.1% of work, 2s)
worker 1/7: k=9101/311738 (0.1% of work, 2s)
worker 5/7: k=8055/311738 (0.1% of work, 2s)
worker 0/7: k=8750/311738 (0.1% of work, 2s)
worker 2/7: k=8402/311738 (0.1% of work, 2s)
worker 3/7: k=8403/311738 (0.1% of work, 2s)
worker 4/7: k=9104/311738 (0.1% of work, 2s)
worker 6/7: k=9106/311738 (0.1% of work, 2s)
worker 1/7: k=9451/311738 (0.1% of work, 2s)
worker 5/7: k=8405/311738 (0.1% of work, 2s)
worker 2/7: k=8752/311738 (0.1% of work, 2s)
worker 0/7: k=9100/311738 (0.1% of work, 2s)
worker 3/7: k=8753/311738 (0.1% of work, 2s)
worker 4/7: k=9454/311738 (0.1% of work, 2s)
worker 6/7: k=9456/311738 (0.1% of work, 2s)
worker 1/7: k=9801/311738 (0.1% of work, 2s)
worker 5/7: k=8755/311738 (0.1% of work, 2s)
worker 2/7: k=9102/311738 (0.1% of work, 2s)
worker 0/7: k=9450/311738 (0.1% of work, 2s)
worker 3/7: k=9103/311738 (0.1% of work, 2s)
worker 4/7: k=9804/311738 (0.1% of work, 2s)
worker 6/7: k=9806/311738 (0.1% of work, 2s)
worker 1/7: k=10151/311738 (0.1% of work, 2s)
worker 5/7: k=9105/311738 (0.1% of work, 2s)
worker 2/7: k=9452/311738 (0.1% of work, 2s)
worker 0/7: k=9800/311738 (0.1% of work, 2s)
worker 3/7: k=9453/311738 (0.1% of work, 2s)
worker 6/7: k=10156/311738 (0.1% of work, 2s)
worker 5/7: k=9455/311738 (0.1% of work, 2s)
worker 2/7: k=9802/311738 (0.1% of work, 2s)
worker 4/7: k=10154/311738 (0.1% of work, 2s)
worker 0/7: k=10150/311738 (0.1% of work, 2s)
worker 1/7: k=10501/311738 (0.1% of work, 3s)
worker 3/7: k=9803/311738 (0.1% of work, 2s)
worker 5/7: k=9805/311738 (0.1% of work, 2s)
worker 2/7: k=10152/311738 (0.1% of work, 2s)
worker 6/7: k=10506/311738 (0.1% of work, 2s)
worker 4/7: k=10504/311738 (0.1% of work, 3s)
worker 0/7: k=10500/311738 (0.1% of work, 3s)
worker 1/7: k=10851/311738 (0.1% of work, 3s)
worker 3/7: k=10153/311738 (0.1% of work, 2s)
worker 2/7: k=10502/311738 (0.1% of work, 2s)
worker 6/7: k=10856/311738 (0.1% of work, 3s)
worker 5/7: k=10155/311738 (0.1% of work, 2s)
worker 4/7: k=10854/311738 (0.1% of work, 3s)
worker 0/7: k=10850/311738 (0.1% of work, 3s)
worker 1/7: k=11201/311738 (0.1% of work, 3s)
worker 3/7: k=10503/311738 (0.1% of work, 3s)
worker 6/7: k=11206/311738 (0.1% of work, 3s)
worker 2/7: k=10852/311738 (0.1% of work, 3s)
worker 5/7: k=10505/311738 (0.1% of work, 3s)
worker 4/7: k=11204/311738 (0.1% of work, 3s)
worker 0/7: k=11200/311738 (0.1% of work, 3s)
worker 1/7: k=11551/311738 (0.1% of work, 3s)
worker 3/7: k=10853/311738 (0.1% of work, 3s)
worker 6/7: k=11556/311738 (0.1% of work, 3s)
worker 2/7: k=11202/311738 (0.1% of work, 3s)
worker 5/7: k=10855/311738 (0.1% of work, 3s)
worker 0/7: k=11550/311738 (0.1% of work, 3s)
worker 1/7: k=11901/311738 (0.1% of work, 3s)
worker 4/7: k=11554/311738 (0.1% of work, 3s)
worker 3/7: k=11203/311738 (0.1% of work, 3s)
worker 2/7: k=11552/311738 (0.1% of work, 3s)
worker 6/7: k=11906/311738 (0.1% of work, 3s)
worker 5/7: k=11205/311738 (0.1% of work, 3s)
worker 0/7: k=11900/311738 (0.1% of work, 3s)
worker 4/7: k=11904/311738 (0.1% of work, 3s)
worker 1/7: k=12251/311738 (0.2% of work, 3s)
worker 2/7: k=11902/311738 (0.1% of work, 3s)
worker 3/7: k=11553/311738 (0.1% of work, 3s)
worker 6/7: k=12256/311738 (0.2% of work, 3s)
worker 5/7: k=11555/311738 (0.1% of work, 3s)
worker 0/7: k=12250/311738 (0.2% of work, 3s)
worker 4/7: k=12254/311738 (0.2% of work, 3s)
worker 1/7: k=12601/311738 (0.2% of work, 4s)
worker 2/7: k=12252/311738 (0.2% of work, 3s)
worker 3/7: k=11903/311738 (0.1% of work, 3s)
worker 6/7: k=12606/311738 (0.2% of work, 4s)
worker 5/7: k=11905/311738 (0.1% of work, 3s)
worker 0/7: k=12600/311738 (0.2% of work, 4s)
worker 1/7: k=12951/311738 (0.2% of work, 4s)
worker 4/7: k=12604/311738 (0.2% of work, 4s)
worker 6/7: k=12956/311738 (0.2% of work, 4s)
worker 2/7: k=12602/311738 (0.2% of work, 4s)
worker 3/7: k=12253/311738 (0.2% of work, 4s)
worker 5/7: k=12255/311738 (0.2% of work, 4s)
worker 0/7: k=12950/311738 (0.2% of work, 4s)
worker 4/7: k=12954/311738 (0.2% of work, 4s)
worker 1/7: k=13301/311738 (0.2% of work, 4s)
worker 6/7: k=13306/311738 (0.2% of work, 4s)
worker 2/7: k=12952/311738 (0.2% of work, 4s)
worker 3/7: k=12603/311738 (0.2% of work, 4s)
worker 5/7: k=12605/311738 (0.2% of work, 4s)
worker 0/7: k=13300/311738 (0.2% of work, 4s)
worker 1/7: k=13651/311738 (0.2% of work, 4s)
worker 2/7: k=13302/311738 (0.2% of work, 4s)
worker 4/7: k=13304/311738 (0.2% of work, 4s)
worker 6/7: k=13656/311738 (0.2% of work, 4s)
worker 3/7: k=12953/311738 (0.2% of work, 4s)
worker 5/7: k=12955/311738 (0.2% of work, 4s)
worker 0/7: k=13650/311738 (0.2% of work, 4s)
worker 1/7: k=14001/311738 (0.2% of work, 5s)
worker 6/7: k=14006/311738 (0.2% of work, 4s)
worker 4/7: k=13654/311738 (0.2% of work, 4s)
worker 2/7: k=13652/311738 (0.2% of work, 4s)
worker 3/7: k=13303/311738 (0.2% of work, 4s)
worker 5/7: k=13305/311738 (0.2% of work, 4s)
worker 0/7: k=14000/311738 (0.2% of work, 4s)
worker 1/7: k=14351/311738 (0.2% of work, 5s)
worker 2/7: k=14002/311738 (0.2% of work, 4s)
worker 6/7: k=14356/311738 (0.2% of work, 5s)
worker 4/7: k=14004/311738 (0.2% of work, 5s)
worker 3/7: k=13653/311738 (0.2% of work, 4s)
worker 0/7: k=14350/311738 (0.2% of work, 5s)
worker 5/7: k=13655/311738 (0.2% of work, 4s)
worker 1/7: k=14701/311738 (0.2% of work, 5s)
worker 2/7: k=14352/311738 (0.2% of work, 5s)
worker 6/7: k=14706/311738 (0.2% of work, 5s)
worker 4/7: k=14354/311738 (0.2% of work, 5s)
worker 3/7: k=14003/311738 (0.2% of work, 5s)
worker 5/7: k=14005/311738 (0.2% of work, 5s)
worker 0/7: k=14700/311738 (0.2% of work, 5s)
worker 1/7: k=15051/311738 (0.2% of work, 5s)
worker 2/7: k=14702/311738 (0.2% of work, 5s)
worker 6/7: k=15056/311738 (0.2% of work, 5s)
worker 4/7: k=14704/311738 (0.2% of work, 5s)
worker 3/7: k=14353/311738 (0.2% of work, 5s)
worker 0/7: k=15050/311738 (0.2% of work, 5s)
worker 5/7: k=14355/311738 (0.2% of work, 5s)
worker 2/7: k=15052/311738 (0.2% of work, 5s)
worker 6/7: k=15406/311738 (0.2% of work, 5s)
worker 1/7: k=15401/311738 (0.2% of work, 6s)
worker 3/7: k=14703/311738 (0.2% of work, 5s)
worker 4/7: k=15054/311738 (0.2% of work, 5s)
worker 5/7: k=14705/311738 (0.2% of work, 5s)
worker 0/7: k=15400/311738 (0.2% of work, 5s)
worker 2/7: k=15402/311738 (0.2% of work, 5s)
worker 1/7: k=15751/311738 (0.3% of work, 6s)
worker 6/7: k=15756/311738 (0.3% of work, 6s)
worker 4/7: k=15404/311738 (0.2% of work, 6s)
worker 3/7: k=15053/311738 (0.2% of work, 5s)
worker 5/7: k=15055/311738 (0.2% of work, 5s)
worker 0/7: k=15750/311738 (0.3% of work, 6s)
worker 2/7: k=15752/311738 (0.3% of work, 6s)
worker 1/7: k=16101/311738 (0.3% of work, 6s)
worker 4/7: k=15754/311738 (0.3% of work, 6s)
